chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,20000,20000,290.2944641113281,0.00275,0.99725,61.655,10.61,36.1325,66.66136932373047,9.055190086364746,,,,
1,20000,40000,20000,291.62774658203125,0.00275,0.99725,66.135,11.745,38.940000000000005,66.66136932373047,17.716712951660156,,,,
2,40000,60000,20000,277.8448486328125,0.00275,0.99725,71.115,11.97,41.5425,66.66136932373047,17.716712951660156,,,,
3,60000,80000,20000,263.3695068359375,0.00275,0.99725,70.575,11.84,41.2075,66.66136932373047,17.716712951660156,,,,
4,80000,100000,20000,261.0722961425781,0.00275,0.99725,69.99,11.33,40.66,66.66136932373047,9.055190086364746,,,,
5,100000,120000,20000,248.66029357910156,0.00275,0.99725,71.29,11.47,41.38,66.66136932373047,17.716712951660156,,,,
6,120000,140000,20000,249.08181762695312,0.00275,0.99725,70.33,11.58,40.955,66.66136932373047,17.716712951660156,,,,
7,140000,160000,20000,245.6662139892578,0.00275,0.99725,69.34,11.445,40.3925,66.66136932373047,17.716712951660156,,,,
8,160000,180000,20000,237.11732482910156,0.00275,0.99725,68.635,12.065,40.35,66.66136932373047,9.055190086364746,,,,
9,180000,200000,20000,245.3173828125,0.00275,0.99725,69.23,11.04,40.135000000000005,66.66136932373047,9.055190086364746,,,,
10,200000,220000,20000,247.57298278808594,0.00275,0.99725,68.75,11.335,40.042500000000004,66.66136932373047,9.055190086364746,,,,
11,220000,240000,20000,230.97958374023438,0.00275,0.99725,68.195,12.425,40.309999999999995,66.66136932373047,9.055190086364746,,,,
12,240000,260000,20000,224.70468139648438,0.00275,0.99725,68.385,12.62,40.502500000000005,66.66136932373047,9.055190086364746,,,,
13,260000,280000,20000,215.19540405273438,0.00275,0.99725,74.935,13.33,44.1325,66.66136932373047,9.055190086364746,,,,
14,280000,300000,20000,215.01376342773438,0.00275,0.99725,73.875,13.66,43.7675,66.66136932373047,9.055190086364746,,,,
15,300000,320000,20000,230.42788696289062,0.00275,0.99725,66.045,13.31,39.6775,66.66136932373047,17.716712951660156,,,,
16,320000,340000,20000,201.56683349609375,0.00275,0.99725,74.93,13.835,44.38250000000001,66.66136932373047,9.055190086364746,,,,
17,340000,360000,20000,215.9659423828125,0.00275,0.99725,72.36,14.12,43.24,66.66136932373047,9.055190086364746,,,,
18,360000,380000,20000,202.27508544921875,0.00275,0.99725,73.505,14.495,44.0,66.66136932373047,9.055190086364746,,,,
19,380000,400000,20000,203.58331298828125,0.00275,0.99725,73.29,14.53,43.910000000000004,66.66136932373047,9.055190086364746,,,,
20,400000,420000,20000,196.03250122070312,0.00275,0.99725,72.84,15.0,43.92,66.66136932373047,9.055190086364746,,,,
21,420000,440000,20000,197.10630798339844,0.00275,0.99725,72.79,15.375,44.0825,66.66136932373047,9.055190086364746,,,,
22,440000,460000,20000,209.39291381835938,0.00275,0.99725,69.775,16.005,42.89,66.66136932373047,9.055190086364746,,,,
23,460000,480000,20000,197.97152709960938,0.00275,0.99725,71.76,16.555,44.1575,66.66136932373047,9.055190086364746,,,,
24,480000,500000,20000,193.6752471923828,0.00275,0.99725,71.7,16.965,44.3325,66.66136932373047,9.055190086364746,,,,
25,500000,520000,20000,183.90284729003906,0.00275,0.99725,71.42,26.4,48.91,66.66136932373047,9.055190086364746,,,,
26,520000,540000,20000,194.4421844482422,0.00275,0.99725,70.335,17.88,44.107499999999995,66.66136932373047,9.055190086364746,,,,
27,540000,560000,20000,177.3342742919922,0.00275,0.99725,74.31,28.7,51.505,66.66136932373047,9.055190086364746,,,,
