chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,50000,50000,272.2344970703125,0.0025,0.9975,48.457899936392096,6.756548368486555,27.607224152439326,8.142343521118164,1.6364086866378784,,,,
1,50000,100000,50000,201.22657775878906,0.0025,0.9975,66.13973417177,9.723950755253027,37.931842463511515,8.142343521118164,1.6364086866378784,,,,
2,100000,150000,50000,194.85623168945312,0.0025,0.9975,67.94456935746166,10.10937834493819,39.02697385119993,8.142343521118164,1.6364086866378784,,,,
3,150000,200000,50000,187.0591583251953,0.0025,0.9975,70.18400634915236,10.632322579942889,40.408164464547625,8.142343521118164,1.6364086866378784,,,,
4,200000,250000,50000,177.2545166015625,0.0025,0.9975,73.04139348316629,11.372880556452579,42.20713701980944,8.142343521118164,1.6364086866378784,,,,
5,250000,300000,50000,163.11679077148438,0.0025,0.9975,77.18127895312398,12.633842882697213,44.907560917910594,8.142343521118164,1.6364086866378784,,,,
6,300000,350000,50000,169.67843627929688,0.0025,0.9975,75.2588071883649,12.021821242874715,43.64031421561981,8.142343521118164,1.6364086866378784,,,,
7,350000,400000,50000,155.16587829589844,0.0025,0.9975,79.48495053041653,13.454225824827741,46.469588177622136,8.142343521118164,1.6364086866378784,,,,
8,400000,450000,50000,150.18850708007812,0.0025,0.9975,80.89985716197724,14.015359049066955,47.4576081055221,8.142343521118164,1.6364086866378784,,,,
9,450000,500000,50000,159.50975036621094,0.0025,0.9975,78.23074226980405,12.9998584921064,45.615300380955226,8.142343521118164,1.6364086866378784,,,,
10,500000,550000,50000,150.58306884765625,0.0025,0.9975,80.78477206122295,13.967554779882658,47.37616342055281,8.142343521118164,1.6364086866378784,,,,
11,550000,600000,50000,149.19119262695312,0.0025,0.9975,81.18866660190984,14.13555004843924,47.66210832517454,8.142343521118164,1.6364086866378784,,,,
12,600000,650000,50000,148.34010314941406,0.0025,0.9975,81.43387709663254,14.241318127886851,47.8375976122597,8.142343521118164,1.6364086866378784,,,,
13,650000,700000,50000,140.93948364257812,0.0025,0.9975,83.50303648300648,15.190963088210216,49.34699978560835,8.142343521118164,1.6364086866378784,,,,
14,700000,750000,50000,139.8533477783203,0.0025,0.9975,83.80500617950142,15.345079697971357,49.57504293873639,8.142343521118164,1.6364086866378784,,,,
15,750000,800000,50000,142.39761352539062,0.0025,0.9975,83.09672475233874,14.989495760205804,49.04311025627227,8.142343521118164,1.6364086866378784,,,,
16,800000,850000,50000,141.6808624267578,0.0025,0.9975,83.29878392962576,15.089549097796468,49.19416651371111,8.142343521118164,1.6364086866378784,,,,
