chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,50000,50000,336.0,0.00252,0.99748,68.4515078117761,6.919101025750808,37.68530441876345,0.0,0.0,,,,
1,50000,100000,50000,289.5,0.0025,0.9975,82.081907825384,10.048874649405123,46.06539123739456,0.0,0.0,,,,
2,100000,150000,50000,290.0,0.00254,0.99746,81.9554977419417,10.00742009339521,45.981458917668455,0.0,0.0,,,,
3,150000,200000,50000,276.0,0.0025,0.9975,85.4383104021085,11.259039270254679,48.34867483618159,0.0,0.0,,,,
4,200000,250000,50000,272.5,0.0025,0.9975,86.25939402837692,11.604554377129421,48.93197420275317,0.0,0.0,,,,
5,250000,300000,50000,259.0,0.0025,0.9975,89.1555457276391,13.028704331955748,51.09212502979742,0.0,0.0,,,,
6,300000,350000,50000,265.0,0.00252,0.99748,87.92040641020878,12.367789900690486,50.14409815544963,0.0,0.0,,,,
7,350000,400000,50000,256.0,0.0025,0.9975,89.74149048410496,13.377212875041273,51.55935167957311,0.0,0.0,,,,
8,400000,450000,50000,250.0,0.00252,0.99748,90.85460647028043,14.111421138376578,52.48301380432851,0.0,0.0,,,,
9,450000,500000,50000,261.0,0.00252,0.99748,88.75787321301397,12.806555081040482,50.782214147027226,0.0,0.0,,,,
10,500000,550000,50000,247.5,0.0025,0.9975,91.29578840456061,14.43217236387122,52.863980384215914,0.0,0.0,,,,
11,550000,600000,50000,247.0,0.00252,0.99748,91.38070339333187,14.497755829943795,52.939229611637835,0.0,0.0,,,,
12,600000,650000,50000,251.5,0.0025,0.9975,90.58531360130421,13.923106787661963,52.254210194483086,0.0,0.0,,,,
13,650000,700000,50000,236.5,0.00252,0.99748,93.0777945737666,15.923538568157822,54.50066657096221,0.0,0.0,,,,
14,700000,750000,50000,240.0,0.0025,0.9975,92.54117839802078,15.42925875262606,53.985218575323415,0.0,0.0,,,,
15,750000,800000,50000,241.0,0.00262,0.99738,92.38182291039521,15.292377078623963,53.837099994509586,0.0,0.0,,,,
16,800000,850000,50000,241.0,0.0025,0.9975,92.38182291039521,15.292377078623963,53.837099994509586,0.0,0.0,,,,
17,850000,900000,50000,232.5,0.00252,0.99748,93.65281721254128,16.51759959071563,55.085208401628456,0.0,0.0,,,,
18,900000,950000,50000,228.5,0.00256,0.99744,94.19073150883237,17.120640921905785,55.65568621536908,0.0,0.0,,,,
19,950000,1000000,50000,236.0,0.00252,0.99748,93.15232459817574,15.995290327028371,54.573807462602055,0.0,0.0,,,,
20,1000000,1050000,50000,236.0,0.0025,0.9975,93.15232459817574,15.995290327028371,54.573807462602055,0.0,0.0,,,,
21,1050000,1100000,50000,236.5,0.0025,0.9975,93.0777945737666,15.923538568157822,54.50066657096221,0.0,0.0,,,,
22,1100000,1150000,50000,232.0,0.00254,0.99746,93.72112521088863,16.591709814479522,55.15641751268407,0.0,0.0,,,,
23,1150000,1200000,50000,229.0,0.00252,0.99748,94.12604929545627,17.044444363813167,55.58524682963472,0.0,0.0,,,,
24,1200000,1250000,50000,225.5,0.00254,0.99746,94.57972004463744,17.589612594928212,56.084666319782826,0.0,0.0,,,,
25,1250000,1300000,50000,233.0,0.0025,0.9975,93.58128629421947,16.440133089988134,55.0107096921038,0.0,0.0,,,,
26,1300000,1350000,50000,231.5,0.00252,0.99748,93.79270089198786,16.664640805796743,55.22867084889231,0.0,0.0,,,,
27,1350000,1400000,50000,222.0,0.0025,0.9975,94.99762533465771,18.16299169457517,56.58030851461644,0.0,0.0,,,,
28,1400000,1450000,50000,224.0,0.0025,0.9975,94.76329219484879,17.831355246495864,56.297323720672324,0.0,0.0,,,,
29,1450000,1500000,50000,218.0,0.00254,0.99746,95.44771506164506,18.84304597555179,57.14538051859842,0.0,0.0,,,,
30,1500000,1550000,50000,217.5,0.00254,0.99746,95.50286280343008,18.928041421900343,57.21545211266521,0.0,0.0,,,,
31,1550000,1600000,50000,223.5,0.0025,0.9975,94.8213495171663,17.91426435851569,56.367806937840996,0.0,0.0,,,,
32,1600000,1650000,50000,223.0,0.00252,0.99748,94.88137640169042,17.996266368653462,56.43882138517194,0.0,0.0,,,,
33,1650000,1700000,50000,220.0,0.00252,0.99748,95.2246621417467,18.49644234641858,56.86055224408264,0.0,0.0,,,,
34,1700000,1750000,50000,223.0,0.00254,0.99746,94.88137640169042,17.996266368653462,56.43882138517194,0.0,0.0,,,,
35,1750000,1800000,50000,217.0,0.0025,0.9975,95.55689147577954,19.016121014647883,57.28650624521371,0.0,0.0,,,,
36,1800000,1850000,50000,216.0,0.0025,0.9975,95.66427737881709,19.19273375108399,57.42850556495054,0.0,0.0,,,,
37,1850000,1900000,50000,212.5,0.00254,0.99746,96.0238120070779,19.838681001295342,57.93124650418662,0.0,0.0,,,,
38,1900000,1950000,50000,215.5,0.00252,0.99748,95.71826128838912,19.283262518913073,57.500761903651096,0.0,0.0,,,,
