chunk,start,end,n_bg,cut,bg_accept,bg_reject,tt_eff,aa_eff,sig_eff_combined,tt_min,aa_min,tt_eff_avg,aa_eff_avg,n_tt_eff,n_aa_eff
0,0,20000,20000,228.5,0.0025,0.9975,98.75,16.335,57.542500000000004,196.5,18.0,,,,
1,20000,40000,20000,239.0,0.00255,0.99745,98.75,12.895,55.8225,196.5,33.5,,,,
2,40000,60000,20000,236.0,0.0025,0.9975,98.305,16.485,57.395,196.5,33.5,,,,
3,60000,80000,20000,231.5,0.0025,0.9975,98.755,16.835,57.795,196.5,33.5,,,,
4,80000,100000,20000,235.5,0.0025,0.9975,98.005,15.195,56.599999999999994,196.5,18.0,,,,
5,100000,120000,20000,232.0,0.0025,0.9975,98.575,15.625,57.1,196.5,33.5,,,,
6,120000,140000,20000,231.0,0.0025,0.9975,98.405,15.42,56.9125,196.5,33.5,,,,
7,140000,160000,20000,232.0,0.00255,0.99745,98.025,15.65,56.837500000000006,196.5,33.5,,,,
8,160000,180000,20000,234.0,0.00255,0.99745,96.74,14.905,55.8225,196.5,18.0,,,,
9,180000,200000,20000,237.0,0.00255,0.99745,96.88,12.985,54.9325,196.5,18.0,,,,
10,200000,220000,20000,236.0,0.00255,0.99745,96.55,14.575,55.5625,196.5,18.0,,,,
11,220000,240000,20000,233.5,0.0025,0.9975,97.405,14.79,56.0975,196.5,18.0,,,,
12,240000,260000,20000,222.0,0.00255,0.99745,97.255,16.4,56.8275,196.5,18.0,,,,
13,260000,280000,20000,223.5,0.0025,0.9975,97.055,17.415,57.235,196.5,18.0,,,,
14,280000,300000,20000,229.5,0.0025,0.9975,96.465,16.11,56.2875,196.5,18.0,,,,
15,300000,320000,20000,231.0,0.00255,0.99745,96.455,15.99,56.2225,196.5,33.5,,,,
16,320000,340000,20000,218.0,0.00275,0.99725,96.525,18.425,57.475,196.5,18.0,,,,
17,340000,360000,20000,229.0,0.0025,0.9975,96.0,17.055,56.5275,196.5,18.0,,,,
18,360000,380000,20000,226.0,0.0025,0.9975,95.475,19.435,57.455,196.5,18.0,,,,
19,380000,400000,20000,221.0,0.00255,0.99745,95.47,19.785,57.6275,196.5,18.0,,,,
20,400000,420000,20000,226.5,0.0025,0.9975,95.19,20.43,57.81,196.5,18.0,,,,
21,420000,440000,20000,227.0,0.0025,0.9975,95.13,20.695,57.912499999999994,196.5,18.0,,,,
22,440000,460000,20000,220.5,0.00255,0.99745,94.955,21.615,58.285,196.5,18.0,,,,
23,460000,480000,20000,228.5,0.0025,0.9975,94.3,19.155,56.7275,196.5,18.0,,,,
24,480000,500000,20000,215.0,0.0025,0.9975,96.675,23.7,60.1875,196.5,18.0,,,,
25,500000,520000,20000,223.5,0.0025,0.9975,94.22,23.76,58.99,196.5,18.0,,,,
26,520000,540000,20000,217.5,0.00255,0.99745,94.425,24.765,59.595,196.5,18.0,,,,
27,540000,560000,20000,219.0,0.00255,0.99745,94.19,25.21,59.7,196.5,18.0,,,,
28,560000,580000,20000,215.0,0.0025,0.9975,96.365,26.365,61.364999999999995,196.5,18.0,,,,
29,580000,600000,20000,212.5,0.0025,0.9975,98.17,26.36,62.265,196.5,18.0,,,,
30,600000,620000,20000,223.0,0.0025,0.9975,93.28,26.75,60.015,196.5,18.0,,,,
31,620000,640000,20000,228.0,0.0025,0.9975,92.895,27.945,60.42,196.5,18.0,,,,
32,640000,660000,20000,217.0,0.0025,0.9975,95.895,29.01,62.4525,196.5,18.0,,,,
33,660000,680000,20000,215.5,0.0025,0.9975,96.06,30.265,63.1625,196.5,18.0,,,,
